,city,lat,lng,max temp(f),humidity(%),cloudiness(%),wind speed(mph),country,date
0,torbay,47.67,-52.73,59.0,100,90,35.57,CA,1604366352
1,nacogdoches,31.6,-94.63,55.4,62,1,2.89,US,1604366352
2,boshnyakovo,49.63,142.17,34.23,85,100,11.27,RU,1604366352
3,kresttsy,58.25,32.52,44.11,88,100,10.63,RU,1604366353
4,barrow,71.29,-156.79,28.4,68,90,21.92,US,1604366120
5,rikitea,-23.12,-134.97,72.05,81,9,17.76,PF,1604366353
6,ponta do sol,32.67,-17.1,69.8,73,75,16.11,PT,1604366353
7,kodiak,57.79,-152.41,28.4,50,1,20.8,US,1604366354
8,hilo,19.73,-155.09,84.2,66,90,10.29,US,1604366354
9,bambous virieux,-20.34,57.76,71.6,73,75,10.29,MU,1604366354
10,union,40.63,-74.27,42.8,41,1,9.17,US,1604366164
11,ochamchira,42.71,41.47,57.0,89,100,2.1,GE,1604366355
12,ushuaia,-54.8,-68.3,50.0,81,75,12.75,AR,1604366125
13,bluff,-46.6,168.33,62.01,66,0,5.01,NZ,1604366355
14,new norfolk,-42.78,147.06,80.01,24,68,1.99,AU,1604366213
15,yellowknife,62.46,-114.35,10.4,85,90,10.29,CA,1604366355
16,arkhara,49.42,130.08,18.59,93,100,15.93,RU,1604366356
17,cabo san lucas,22.89,-109.91,82.4,65,20,4.7,MX,1604366343
18,hasaki,35.73,140.83,59.0,100,75,3.36,JP,1604366356
19,chiredzi,-21.05,31.67,72.05,68,100,5.26,ZW,1604366356
20,vaini,-21.2,-175.2,78.8,83,75,14.99,TO,1604366135
21,punta arenas,-53.15,-70.92,51.8,50,75,6.93,CL,1604366239
22,brae,60.4,-1.35,48.2,76,69,23.04,GB,1604366315
23,summerville,33.02,-80.18,46.4,87,1,2.89,US,1604366103
24,mersing,2.43,103.84,77.0,94,40,3.36,MY,1604366076
25,ahipara,-35.17,173.17,70.48,68,100,13.49,NZ,1604366358
26,tungor,53.38,142.96,35.56,80,95,7.92,RU,1604366137
27,acapulco,16.86,-99.89,84.2,83,20,9.17,MX,1604366199
28,busselton,-33.65,115.33,66.99,51,36,10.36,AU,1604366200
29,westport,41.14,-73.36,39.2,44,1,12.75,US,1604366359
30,petropavl,54.88,69.16,31.08,94,98,8.72,KZ,1604366138
31,kampong thum,12.71,104.89,76.35,76,53,6.35,KH,1604366359
32,leningradskiy,69.38,178.42,17.74,96,100,17.02,RU,1604366138
33,esso,55.93,158.7,30.6,94,100,8.5,RU,1604366360
34,east london,-33.02,27.91,66.25,85,33,12.71,ZA,1604366360
35,grindavik,63.84,-22.43,39.2,93,75,21.92,IS,1604366360
36,vanimo,-2.67,141.3,89.78,56,100,4.59,PG,1604366360
37,atuona,-9.8,-139.03,77.94,72,1,17.49,PF,1604366139
38,pauini,-7.71,-66.98,73.81,93,100,1.48,BR,1604366140
39,baruun-urt,46.68,113.28,16.93,70,0,9.35,MN,1604366361
40,chokurdakh,70.63,147.92,-13.31,87,25,9.71,RU,1604366361
41,albany,42.6,-73.97,36.0,64,95,1.99,US,1604366361
42,hobart,-42.88,147.33,80.01,36,0,11.41,AU,1604366214
43,cape town,-33.93,18.42,64.99,88,0,8.05,ZA,1604366275
44,longyearbyen,78.22,15.64,32.0,96,75,44.96,SJ,1604366141
45,port alfred,-33.59,26.89,65.93,86,4,18.84,ZA,1604366362
46,aktau,43.65,51.2,48.2,100,90,8.95,KZ,1604366142
47,angoche,-16.23,39.91,77.31,82,23,6.2,MZ,1604366363
48,butaritari,3.07,172.79,81.32,74,0,15.93,KI,1604366363
49,castro,-24.79,-50.01,52.09,94,0,8.75,BR,1604366363
50,sikasso,10.92,-7.0,76.46,41,10,1.9,ML,1604366363
51,chuy,-33.7,-53.46,56.39,92,0,6.44,UY,1604366143
52,codrington,-38.27,141.97,76.03,65,100,17.4,AU,1604366364
53,kupang,-10.17,123.58,89.69,44,88,1.32,ID,1604366364
54,inhambane,-23.86,35.38,71.62,76,60,3.2,MZ,1604366364
55,te anau,-45.42,167.72,66.85,40,6,2.15,NZ,1604366144
56,yei,4.09,30.68,66.22,93,78,1.3,SS,1604366365
57,trairi,-3.28,-39.27,79.81,78,0,10.25,BR,1604366227
58,moron,-34.65,-58.62,66.0,72,0,4.0,AR,1604366145
59,khatanga,71.97,102.5,9.19,96,100,7.34,RU,1604366098
60,cascais,38.7,-9.42,61.0,93,100,11.01,PT,1604366366
61,lebu,-37.62,-73.65,50.94,92,30,11.68,CL,1604366366
62,sal rei,16.18,-22.92,77.0,83,0,11.41,CV,1604366367
63,saint-philippe,-21.36,55.77,69.8,60,90,5.82,RE,1604366367
64,kapaa,22.08,-159.32,82.4,74,90,14.99,US,1604366142
65,dikson,73.51,80.55,14.32,94,99,11.59,RU,1604366367
66,saint-augustin,51.23,-58.65,47.43,80,100,38.23,CA,1604366368
67,bengkulu,-3.8,102.27,76.93,85,96,3.6,ID,1604366147
68,muroto,33.28,134.15,64.4,48,20,13.87,JP,1604366147
69,nanortalik,60.14,-45.24,34.56,80,100,11.59,GL,1604366148
70,sitka,57.05,-135.33,42.8,88,90,9.17,US,1604366148
71,wattegama,6.8,81.48,77.0,100,90,2.1,LK,1604366369
72,marsa matruh,31.35,27.25,62.6,88,40,6.93,EG,1604366369
73,qaanaaq,77.48,-69.36,9.25,78,100,4.34,GL,1604366369
74,georgetown,5.41,100.34,82.0,94,20,5.82,MY,1604366366
75,broome,42.25,-75.83,37.0,94,90,10.29,US,1604366370
76,antofagasta,-23.65,-70.4,59.0,77,90,13.87,CL,1604366150
77,mataura,-46.19,168.86,62.01,66,0,5.01,NZ,1604366370
78,hermanus,-34.42,19.23,64.0,86,11,8.99,ZA,1604366370
79,mar del plata,-38.0,-57.56,60.01,87,0,9.17,AR,1604366150
80,winnemucca,40.97,-117.74,66.2,12,1,3.36,US,1604366371
81,isangel,-19.55,169.27,75.25,92,100,11.83,VU,1604366371
82,kahului,20.89,-156.47,89.6,55,40,19.46,US,1604366372
83,port elizabeth,-33.92,25.57,64.4,88,0,12.75,ZA,1604366372
84,monrovia,6.3,-10.8,78.39,86,0,4.05,LR,1604366372
85,saint anthony,45.02,-93.22,51.8,56,1,4.59,US,1604366372
86,salalah,17.02,54.09,71.6,46,0,5.82,OM,1604366271
87,narsaq,60.92,-46.05,26.6,53,100,3.36,GL,1604366202
88,teeli,51.03,90.23,24.24,92,100,0.72,RU,1604366373
89,katherine,-14.47,132.27,95.0,39,100,6.93,AU,1604366374
90,am timan,11.03,20.28,77.59,40,38,3.29,TD,1604366203
91,mitsamiouli,-11.38,43.28,76.66,81,2,11.3,KM,1604366374
92,tempio pausania,40.9,9.1,57.2,93,40,2.24,IT,1604366374
93,victoria,22.29,114.16,73.0,69,11,1.99,HK,1604366242
94,hithadhoo,-0.6,73.08,83.07,72,100,8.12,MV,1604366375
95,ruteng,-8.61,120.47,75.18,64,84,1.45,ID,1604366375
96,port lincoln,-34.73,135.87,80.85,26,100,17.6,AU,1604366133
97,arcachon,44.59,-1.05,54.0,93,0,2.24,FR,1604366376
98,chino valley,34.76,-112.45,73.4,17,1,10.29,US,1604366345
99,mehamn,71.04,27.85,42.04,85,100,27.27,NO,1604366156
100,tigil,57.8,158.67,36.16,78,100,10.63,RU,1604366156
101,bozuyuk,39.91,30.04,37.4,92,100,2.24,TR,1604366377
102,jamestown,42.1,-79.24,37.0,59,1,19.46,US,1604366192
103,calabozo,8.92,-67.43,76.21,89,86,4.94,VE,1604366377
104,mahebourg,-20.41,57.7,71.6,73,75,10.29,MU,1604366377
105,yarmouth,41.71,-70.23,37.99,43,1,16.11,US,1604366378
106,sibu,2.3,111.82,77.0,88,40,4.7,MY,1604366378
107,manuk mangkaw,4.8,119.85,83.46,78,100,16.93,PH,1604366378
108,paamiut,61.99,-49.67,33.67,84,100,22.95,GL,1604366378
109,thompson,55.74,-97.86,21.2,92,90,8.05,CA,1604366379
110,zavetnoye,47.12,43.89,54.3,75,100,5.23,RU,1604366379
111,arraial do cabo,-22.97,-42.03,68.67,60,16,5.3,BR,1604366159
112,kangaatsiaq,68.31,-53.46,21.94,87,100,22.19,GL,1604366159
113,aykhal,66.0,111.5,6.8,84,90,6.71,RU,1604366380
114,tiksi,71.69,128.87,4.05,93,100,3.62,RU,1604366380
115,tasiilaq,65.61,-37.64,33.8,40,0,6.93,GL,1604366380
116,carnarvon,-24.87,113.63,69.8,60,2,19.46,AU,1604366380
